Transport code output file.

Total source generations: 32
Right leakage: 6.0507e+09 neutrons, 0.151648%
Left leakage : 1.91245e+10 neutrons, 0.479315%

_____Total Flux_____
dist | flux
0.0075 6.92689e+10
0.0225 6.97295e+10
0.0375 7.01838e+10
0.0525 7.0632e+10
0.0675 7.10743e+10
0.0825 7.15108e+10
0.0975 7.19417e+10
0.1125 7.23672e+10
0.1275 7.27874e+10
0.1425 7.32024e+10
0.1575 7.36123e+10
0.1725 7.40174e+10
0.1875 7.44176e+10
0.2025 7.4813e+10
0.2175 7.52039e+10
0.2325 7.55902e+10
0.2475 7.59721e+10
0.2625 7.63497e+10
0.2775 7.67229e+10
0.2925 7.7092e+10
0.3075 7.7457e+10
0.3225 7.78179e+10
0.3375 7.81749e+10
0.3525 7.85279e+10
0.3675 7.8877e+10
0.3825 7.92224e+10
0.3975 7.9564e+10
0.4125 7.9902e+10
0.4275 8.02363e+10
0.4425 8.05671e+10
0.4575 8.08943e+10
0.4725 8.12181e+10
0.4875 8.15384e+10
0.5025 8.18554e+10
0.5175 8.2169e+10
0.5325 8.24793e+10
0.5475 8.27863e+10
0.5625 8.30901e+10
0.5775 8.33908e+10
0.5925 8.36882e+10
0.6075 8.39826e+10
0.6225 8.42738e+10
0.6375 8.45621e+10
0.652499 8.48473e+10
0.667499 8.51295e+10
0.682499 8.54088e+10
0.697499 8.56851e+10
0.712499 8.59586e+10
0.727499 8.62291e+10
0.742499 8.64968e+10
0.757499 8.67617e+10
0.772499 8.70237e+10
0.787499 8.72831e+10
0.802499 8.75396e+10
0.817499 8.77934e+10
0.832499 8.80445e+10
0.847499 8.82929e+10
0.862499 8.85386e+10
0.877499 8.87817e+10
0.892499 8.90222e+10
0.907499 8.926e+10
0.922499 8.94953e+10
0.937499 8.97279e+10
0.952499 8.9958e+10
0.967499 9.01856e+10
0.982499 9.04106e+10
0.997499 9.06331e+10
1.0125 9.08531e+10
1.0275 9.10706e+10
1.0425 9.12857e+10
1.0575 9.14983e+10
1.0725 9.17084e+10
1.0875 9.19162e+10
1.1025 9.21215e+10
1.1175 9.23244e+10
1.1325 9.2525e+10
1.1475 9.27231e+10
1.1625 9.29188e+10
1.1775 9.31122e+10
1.1925 9.33032e+10
1.2075 9.3492e+10
1.2225 9.36783e+10
1.2375 9.38624e+10
1.2525 9.40442e+10
1.2675 9.42236e+10
1.2825 9.44008e+10
1.2975 9.45757e+10
1.3125 9.47484e+10
1.3275 9.49186e+10
1.3425 9.50867e+10
1.3575 9.52526e+10
1.3725 9.54161e+10
1.3875 9.55775e+10
1.4025 9.57367e+10
1.4175 9.58936e+10
1.4325 9.60483e+10
1.4475 9.62008e+10
1.4625 9.63511e+10
1.4775 9.64992e+10
1.4925 9.66451e+10
1.5075 9.67888e+10
1.5225 9.69303e+10
1.5375 9.70698e+10
1.5525 9.72069e+10
1.5675 9.7342e+10
1.5825 9.74749e+10
1.5975 9.76056e+10
1.6125 9.77342e+10
1.6275 9.78606e+10
1.6425 9.7985e+10
1.6575 9.81071e+10
1.6725 9.82272e+10
1.6875 9.83451e+10
1.7025 9.84609e+10
1.7175 9.85745e+10
1.7325 9.86861e+10
1.7475 9.87956e+10
1.7625 9.89029e+10
1.7775 9.9008e+10
1.7925 9.91112e+10
1.8075 9.92122e+10
1.8225 9.93111e+10
1.8375 9.94079e+10
1.85251 9.95026e+10
1.86751 9.95952e+10
1.88251 9.96858e+10
1.89751 9.97742e+10
1.91251 9.98606e+10
1.92751 9.99449e+10
1.94251 1.00027e+11
1.95751 1.00107e+11
1.97251 1.00185e+11
1.98751 1.00261e+11
