Transport code output file.

Total source generations: 96
Right leakage: 1.26977e+10 neutrons, 0.317445%
Left leakage : 1.4612e+10 neutrons, 0.365304%

_____Total Flux_____
dist | flux
0.025 4.31862e+10
0.075 4.43538e+10
0.125 4.54641e+10
0.175 4.65289e+10
0.225 4.75567e+10
0.275 4.85535e+10
0.325 4.95238e+10
0.375 5.04712e+10
0.425 5.13983e+10
0.475 5.23074e+10
0.525 5.32003e+10
0.575 5.40785e+10
0.625 5.49431e+10
0.675 5.57953e+10
0.725 5.66358e+10
0.775 5.74656e+10
0.825 5.82851e+10
0.875 5.90951e+10
0.925 5.98958e+10
0.975 6.06879e+10
1.025 6.14716e+10
1.075 6.22474e+10
1.125 6.30154e+10
1.175 6.3776e+10
1.225 6.45293e+10
1.275 6.52756e+10
1.325 6.60151e+10
1.375 6.67478e+10
1.425 6.74741e+10
1.475 6.81939e+10
1.525 6.89075e+10
1.575 6.96149e+10
1.625 7.03161e+10
1.675 7.10115e+10
1.725 7.17009e+10
1.775 7.23845e+10
1.825 7.30623e+10
1.875 7.37345e+10
1.925 7.4401e+10
1.975 7.5062e+10
2.025 7.57174e+10
2.075 7.63674e+10
2.125 7.7012e+10
2.175 7.76511e+10
2.225 7.8285e+10
2.275 7.89136e+10
2.325 7.95369e+10
2.375 8.01551e+10
2.425 8.07681e+10
2.475 8.1376e+10
2.525 8.19788e+10
2.575 8.25765e+10
2.625 8.31693e+10
2.675 8.37571e+10
2.725 8.43399e+10
2.775 8.49179e+10
2.825 8.5491e+10
2.875 8.60593e+10
2.925 8.66229e+10
2.975 8.71817e+10
3.025 8.77359e+10
3.075 8.82853e+10
3.125 8.88303e+10
3.175 8.93706e+10
3.225 8.99065e+10
3.275 9.04379e+10
3.325 9.09649e+10
3.375 9.14875e+10
3.425 9.20059e+10
3.475 9.252e+10
3.525 9.30299e+10
3.575 9.35357e+10
3.625 9.40374e+10
3.675 9.45351e+10
3.72501 9.50289e+10
3.77501 9.55188e+10
3.82501 9.6005e+10
3.87501 9.64874e+10
3.92501 9.69662e+10
3.97501 9.74413e+10
4.02501 9.7913e+10
4.07501 9.83813e+10
4.12501 9.88462e+10
4.17501 9.93079e+10
4.22501 9.97665e+10
4.27501 1.00222e+11
4.32501 1.00675e+11
4.37501 1.01124e+11
4.42501 1.01571e+11
4.47501 1.02015e+11
4.52501 1.02457e+11
4.57501 1.02896e+11
4.62501 1.03333e+11
4.67501 1.03767e+11
4.72501 1.04199e+11
4.77501 1.04629e+11
4.82501 1.05057e+11
4.87501 1.05483e+11
4.92501 1.05908e+11
4.97501 1.0633e+11
5.02501 1.06751e+11
5.07501 1.07169e+11
5.12501 1.07586e+11
5.17501 1.08002e+11
5.22501 1.08415e+11
5.27501 1.08827e+11
5.32501 1.09237e+11
5.37501 1.09644e+11
5.42501 1.10049e+11
5.47501 1.1045e+11
5.52501 1.10848e+11
5.57501 1.11242e+11
5.62501 1.11631e+11
5.67501 1.12012e+11
5.72501 1.12386e+11
5.77501 1.12748e+11
5.82501 1.13096e+11
5.87501 1.13424e+11
5.92501 1.13726e+11
5.97501 1.1399e+11
6.00751 1.13817e+11
6.02251 1.13335e+11
6.03751 1.13024e+11
6.05252 1.1282e+11
6.06752 1.12691e+11
6.08252 1.12618e+11
6.09752 1.12589e+11
6.11252 1.12593e+11
6.12752 1.12626e+11
6.14252 1.12682e+11
6.15752 1.12756e+11
6.17252 1.12848e+11
6.18752 1.12952e+11
6.20252 1.13069e+11
6.21752 1.13196e+11
6.23252 1.13332e+11
6.24752 1.13475e+11
6.26252 1.13624e+11
6.27752 1.1378e+11
6.29252 1.1394e+11
6.30752 1.14104e+11
6.32252 1.14272e+11
6.33752 1.14443e+11
6.35252 1.14617e+11
6.36752 1.14792e+11
6.38252 1.1497e+11
6.39752 1.1515e+11
6.41252 1.1533e+11
6.42752 1.15512e+11
6.44252 1.15695e+11
6.45752 1.15878e+11
6.47252 1.16062e+11
6.48752 1.16246e+11
6.50253 1.1643e+11
6.51753 1.16614e+11
6.53253 1.16798e+11
6.54753 1.16982e+11
6.56253 1.17166e+11
6.57753 1.17349e+11
6.59253 1.17532e+11
6.60753 1.17714e+11
6.62253 1.17896e+11
6.63753 1.18077e+11
6.65253 1.18258e+11
6.66753 1.18437e+11
6.68253 1.18616e+11
6.69753 1.18794e+11
6.71253 1.18972e+11
6.72753 1.19148e+11
6.74253 1.19323e+11
6.75753 1.19498e+11
6.77253 1.19671e+11
