Transport code output file.

Total source generations: 46
Right leakage: 9.3563e+09 neutrons, 0.234496%
Left leakage : 9.3563e+09 neutrons, 0.234496%

_____Total Flux_____
dist | flux
0.025 3.24861e+10
0.075 3.28264e+10
0.125 3.31655e+10
0.175 3.35033e+10
0.225 3.38398e+10
0.275 3.41751e+10
0.325 3.45091e+10
0.375 3.48419e+10
0.425 3.51735e+10
0.475 3.55039e+10
0.525 3.58331e+10
0.575 3.61611e+10
0.625 3.64879e+10
0.675 3.68135e+10
0.725 3.71379e+10
0.775 3.74611e+10
0.825 3.77831e+10
0.875 3.81039e+10
0.925 3.84235e+10
0.975 3.87419e+10
1.025 3.90591e+10
1.075 3.93751e+10
1.125 3.969e+10
1.175 4.00036e+10
1.225 4.0316e+10
1.275 4.06272e+10
1.325 4.09372e+10
1.375 4.1246e+10
1.425 4.15535e+10
1.475 4.18599e+10
1.525 4.2165e+10
1.575 4.24689e+10
1.625 4.27715e+10
1.675 4.30729e+10
1.725 4.3373e+10
1.775 4.36719e+10
1.825 4.39695e+10
1.875 4.42659e+10
1.925 4.4561e+10
1.975 4.48548e+10
2.025 4.51473e+10
2.075 4.54385e+10
2.125 4.57283e+10
2.175 4.60169e+10
2.225 4.63042e+10
2.275 4.65901e+10
2.325 4.68746e+10
2.375 4.71578e+10
2.425 4.74397e+10
2.475 4.77201e+10
2.525 4.79992e+10
2.575 4.82769e+10
2.625 4.85531e+10
2.675 4.8828e+10
2.725 4.91014e+10
2.775 4.93734e+10
2.825 4.96439e+10
2.875 4.99129e+10
2.925 5.01805e+10
2.975 5.04466e+10
3.025 5.07111e+10
3.075 5.09741e+10
3.125 5.12356e+10
3.175 5.14955e+10
3.225 5.17539e+10
3.275 5.20106e+10
3.325 5.22658e+10
3.375 5.25193e+10
3.425 5.27712e+10
3.475 5.30214e+10
3.525 5.327e+10
3.575 5.35168e+10
3.625 5.3762e+10
3.675 5.40054e+10
3.72501 5.4247e+10
3.77501 5.44868e+10
3.82501 5.47248e+10
3.87501 5.4961e+10
3.92501 5.51953e+10
3.97501 5.54277e+10
4.00751 5.55539e+10
4.02251 5.55791e+10
4.03751 5.56122e+10
4.05251 5.56516e+10
4.06751 5.56961e+10
4.08251 5.5745e+10
4.09751 5.57973e+10
4.11251 5.58527e+10
4.12751 5.59106e+10
4.14251 5.59706e+10
4.15751 5.60324e+10
4.17251 5.60958e+10
4.18751 5.61604e+10
4.20251 5.62262e+10
4.21751 5.62929e+10
4.23251 5.63604e+10
4.24751 5.64285e+10
4.26251 5.64972e+10
4.27751 5.65664e+10
4.29251 5.66359e+10
4.30751 5.67057e+10
4.32251 5.67757e+10
4.33751 5.68459e+10
4.35251 5.69162e+10
4.36751 5.69866e+10
4.38251 5.70571e+10
4.39752 5.71275e+10
4.41252 5.7198e+10
4.42752 5.72683e+10
4.44252 5.73386e+10
4.45752 5.74088e+10
4.47252 5.74789e+10
4.48752 5.75488e+10
4.50252 5.76186e+10
4.51752 5.76882e+10
4.53252 5.77577e+10
4.54752 5.78269e+10
4.56252 5.7896e+10
4.57752 5.79648e+10
4.59252 5.80334e+10
4.60752 5.81018e+10
4.62252 5.817e+10
4.63752 5.82379e+10
4.65252 5.83056e+10
4.66752 5.8373e+10
4.68252 5.84402e+10
4.69752 5.85071e+10
4.71252 5.85737e+10
4.72752 5.86401e+10
4.74252 5.87063e+10
4.75752 5.87721e+10
4.77252 5.88377e+10
4.78752 5.8903e+10
4.80252 5.8968e+10
4.81752 5.90328e+10
4.83253 5.90973e+10
4.84753 5.91615e+10
4.86253 5.92254e+10
4.87753 5.92891e+10
4.89253 5.93524e+10
4.90753 5.94155e+10
4.92253 5.94783e+10
4.93753 5.95408e+10
4.95253 5.96031e+10
4.96753 5.9665e+10
4.98253 5.97267e+10
4.99753 5.97881e+10
5.01253 5.98492e+10
5.02753 5.99101e+10
5.04253 5.99707e+10
5.05753 6.0031e+10
5.07253 6.0091e+10
5.08753 6.01508e+10
5.10253 6.02102e+10
5.11753 6.02695e+10
5.13253 6.03284e+10
5.14753 6.03871e+10
5.16253 6.04456e+10
5.17753 6.05038e+10
5.19253 6.05617e+10
5.20753 6.06194e+10
5.22253 6.06768e+10
5.23753 6.0734e+10
5.25253 6.0791e+10
5.26754 6.08477e+10
5.28254 6.09042e+10
5.29754 6.09605e+10
5.31254 6.10166e+10
5.32754 6.10725e+10
5.34254 6.11281e+10
5.35754 6.11836e+10
5.37254 6.12389e+10
5.38754 6.1294e+10
5.40254 6.1349e+10
5.41754 6.14038e+10
5.43254 6.14585e+10
5.44754 6.1513e+10
5.46254 6.15674e+10
5.47754 6.16218e+10
5.49254 6.1676e+10
5.50754 6.17302e+10
5.52254 6.17843e+10
5.53754 6.18385e+10
5.55254 6.18926e+10
5.56754 6.19468e+10
5.58254 6.2001e+10
5.59754 6.20554e+10
5.61254 6.21099e+10
5.62754 6.21645e+10
5.64254 6.22194e+10
5.65754 6.22747e+10
5.67254 6.23302e+10
5.68754 6.23862e+10
5.70255 6.24426e+10
5.71755 6.24997e+10
5.73255 6.25575e+10
5.74755 6.2616e+10
5.76255 6.26755e+10
5.77755 6.2736e+10
5.79255 6.27979e+10
5.80755 6.28612e+10
5.82255 6.29261e+10
5.83755 6.2993e+10
5.85255 6.30622e+10
5.86755 6.31341e+10
5.88255 6.3209e+10
5.89755 6.32874e+10
5.91255 6.33701e+10
5.92755 6.34578e+10
5.94255 6.35514e+10
5.95755 6.3652e+10
5.97255 6.37613e+10
5.98755 6.38811e+10
6.02005 6.40215e+10
6.07005 6.41756e+10
6.12005 6.43273e+10
6.17005 6.44767e+10
6.22005 6.46239e+10
6.27005 6.47688e+10
6.32005 6.49115e+10
6.37005 6.50519e+10
6.42005 6.51901e+10
6.47005 6.53262e+10
6.52005 6.546e+10
6.57005 6.55917e+10
6.62005 6.57212e+10
6.67005 6.58486e+10
6.72005 6.59739e+10
6.77005 6.6097e+10
6.82006 6.6218e+10
6.87006 6.63368e+10
6.92006 6.64536e+10
6.97006 6.65682e+10
7.02006 6.66808e+10
7.07006 6.67912e+10
7.12006 6.68995e+10
7.17006 6.70058e+10
7.22006 6.71099e+10
7.27006 6.7212e+10
7.32006 6.73119e+10
7.37006 6.74098e+10
7.42006 6.75055e+10
7.47006 6.75992e+10
7.52006 6.76907e+10
7.57006 6.77802e+10
7.62006 6.78675e+10
7.67006 6.79528e+10
7.72006 6.80359e+10
7.77006 6.81169e+10
7.82006 6.81958e+10
7.87006 6.82725e+10
7.92006 6.83472e+10
7.97006 6.84196e+10
8.02006 6.84899e+10
8.07006 6.85581e+10
8.12006 6.86241e+10
8.17006 6.86879e+10
8.22006 6.87495e+10
8.27006 6.8809e+10
8.32006 6.88662e+10
8.37005 6.89212e+10
8.42005 6.89739e+10
8.47005 6.90244e+10
8.52005 6.90727e+10
8.57005 6.91186e+10
8.62005 6.91623e+10
8.67005 6.92036e+10
8.72005 6.92426e+10
8.77005 6.92792e+10
8.82005 6.93134e+10
8.87005 6.93452e+10
8.92005 6.93746e+10
8.97005 6.94015e+10
9.00254 6.93809e+10
9.01754 6.93199e+10
9.03254 6.92696e+10
9.04754 6.9228e+10
9.06254 6.91935e+10
9.07754 6.9165e+10
9.09254 6.91416e+10
9.10754 6.91224e+10
9.12254 6.91068e+10
9.13754 6.90943e+10
9.15254 6.90845e+10
9.16754 6.90771e+10
9.18254 6.90716e+10
9.19754 6.90678e+10
9.21254 6.90655e+10
9.22754 6.90645e+10
9.24253 6.90646e+10
9.25753 6.90657e+10
9.27253 6.90676e+10
9.28753 6.90702e+10
9.30253 6.90734e+10
9.31753 6.90771e+10
9.33253 6.90813e+10
9.34753 6.90859e+10
9.36253 6.90908e+10
