Transport code output file.

Total source generations: 31
Right leakage: 1.20664e+10 neutrons, 0.302419%
Left leakage : 1.20664e+10 neutrons, 0.302419%

_____Total Flux_____
dist | flux
0.025 3.62749e+10
0.075 3.69709e+10
0.125 3.76428e+10
0.175 3.82944e+10
0.225 3.89287e+10
0.275 3.95482e+10
0.325 4.01549e+10
0.375 4.07505e+10
0.425 4.13366e+10
0.475 4.19142e+10
0.525 4.24846e+10
0.575 4.30487e+10
0.625 4.36073e+10
0.675 4.41611e+10
0.725 4.47109e+10
0.775 4.52571e+10
0.825 4.58003e+10
0.875 4.63411e+10
0.925 4.68797e+10
0.975 4.74165e+10
1.025 4.7952e+10
1.075 4.84864e+10
1.125 4.90201e+10
1.175 4.95533e+10
1.225 5.00862e+10
1.275 5.06191e+10
1.325 5.11523e+10
1.375 5.16858e+10
1.425 5.222e+10
1.475 5.27551e+10
1.525 5.32911e+10
1.575 5.38283e+10
1.625 5.43669e+10
1.675 5.4907e+10
1.725 5.54488e+10
1.775 5.59924e+10
1.825 5.65381e+10
1.875 5.70859e+10
1.925 5.7636e+10
1.975 5.81885e+10
2.025 5.87437e+10
2.075 5.93016e+10
2.125 5.98624e+10
2.175 6.04263e+10
2.225 6.09933e+10
2.275 6.15638e+10
2.325 6.21377e+10
2.375 6.27153e+10
2.425 6.32968e+10
2.475 6.38821e+10
2.525 6.44717e+10
2.575 6.50654e+10
2.625 6.56637e+10
2.675 6.62665e+10
2.725 6.68742e+10
2.775 6.74867e+10
2.825 6.81044e+10
2.875 6.87274e+10
2.925 6.93558e+10
2.975 6.99899e+10
3.025 7.06299e+10
3.075 7.12758e+10
3.125 7.19279e+10
3.175 7.25865e+10
3.225 7.32516e+10
3.275 7.39236e+10
3.325 7.46026e+10
3.375 7.52888e+10
3.425 7.59824e+10
3.475 7.66836e+10
3.525 7.73928e+10
3.575 7.81101e+10
3.625 7.88357e+10
3.675 7.95698e+10
3.72501 8.03128e+10
3.77501 8.10648e+10
3.82501 8.18262e+10
3.87501 8.25971e+10
3.92501 8.33778e+10
3.97501 8.41686e+10
4.00751 8.46861e+10
4.02251 8.49241e+10
4.03751 8.51596e+10
4.05251 8.53929e+10
4.06751 8.56237e+10
4.08251 8.58522e+10
4.09751 8.60784e+10
4.11251 8.63022e+10
4.12751 8.65237e+10
4.14251 8.67429e+10
4.15751 8.69598e+10
4.17251 8.71743e+10
4.18751 8.73866e+10
4.20251 8.75966e+10
4.21751 8.78042e+10
4.23251 8.80096e+10
4.24751 8.82127e+10
4.26251 8.84135e+10
4.27751 8.86121e+10
4.29251 8.88084e+10
4.30751 8.90024e+10
4.32251 8.91942e+10
4.33751 8.93838e+10
4.35251 8.95711e+10
4.36751 8.97561e+10
4.38251 8.9939e+10
4.39752 9.01196e+10
4.41252 9.0298e+10
4.42752 9.04741e+10
4.44252 9.06481e+10
4.45752 9.08199e+10
4.47252 9.09895e+10
4.48752 9.11569e+10
4.50252 9.1322e+10
4.51752 9.1485e+10
4.53252 9.16458e+10
4.54752 9.18044e+10
4.56252 9.19608e+10
4.57752 9.21151e+10
4.59252 9.22672e+10
4.60752 9.24171e+10
4.62252 9.25649e+10
4.63752 9.27105e+10
4.65252 9.2854e+10
4.66752 9.29953e+10
4.68252 9.31345e+10
4.69752 9.32715e+10
4.71252 9.34063e+10
4.72752 9.3539e+10
4.74252 9.36696e+10
4.75752 9.37981e+10
4.77252 9.39244e+10
4.78752 9.40486e+10
4.80252 9.41707e+10
4.81752 9.42906e+10
4.83253 9.44084e+10
4.84753 9.45242e+10
4.86253 9.46377e+10
4.87753 9.47492e+10
4.89253 9.48585e+10
4.90753 9.49658e+10
4.92253 9.50709e+10
4.93753 9.51739e+10
4.95253 9.52748e+10
4.96753 9.53735e+10
4.98253 9.54702e+10
4.99753 9.55648e+10
5.01253 9.56573e+10
5.02753 9.57477e+10
5.04253 9.58359e+10
5.05753 9.59221e+10
5.07253 9.60062e+10
5.08753 9.60881e+10
5.10253 9.6168e+10
5.11753 9.62458e+10
5.13253 9.63215e+10
5.14753 9.6395e+10
5.16253 9.64665e+10
5.17753 9.65358e+10
5.19253 9.66031e+10
5.20753 9.66683e+10
5.22253 9.67313e+10
5.23753 9.67923e+10
5.25253 9.68512e+10
5.26754 9.6908e+10
5.28254 9.69626e+10
5.29754 9.70152e+10
5.31254 9.70656e+10
5.32754 9.7114e+10
5.34254 9.71603e+10
5.35754 9.72044e+10
5.37254 9.72465e+10
5.38754 9.72864e+10
5.40254 9.73242e+10
5.41754 9.736e+10
5.43254 9.73935e+10
5.44754 9.7425e+10
5.46254 9.74543e+10
5.47754 9.74815e+10
5.49254 9.75067e+10
5.50754 9.75297e+10
5.52254 9.75505e+10
5.53754 9.75693e+10
5.55254 9.75859e+10
5.56754 9.76004e+10
5.58254 9.76128e+10
5.59754 9.7623e+10
